Наименование,Цена,Ссылка на изображение,Краткое описание
"
        Suzuki SV 400
              ","
$ 2 843
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/0/a/80a6355616d41ebf9da53e3ef21f25c6_240x180.jpg,        мотоцикл                    
"
        Yamaha SR 400
              ","
$ 6 900
                                                             
                                                                                   606 648 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/2/1/e214337ca4f9c9cad3ce414adf668487_240x180.jpg,        мотоцикл                    
"
        Yamaha FZ6
              ","
$ 7 000
                                                             
                                                                                   615 440 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/7/0/9702707b13f47ea765f321601628799e_240x180.jpg,        мотоцикл                    
"
        Yamaha V-Max
              ","
$ 7 100
                                                             
                                                                                   624 232 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/f/e/8feab24b8dbb64ba97d86f0bcf4a5d70_240x180.jpg,        мотоцикл                    
"
        Yamaha XVS 1100
              ","
$ 6 500
                                                             
                                                                                   571 480 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/f/3/ef387763744f84066e6db44431798939_240x180.jpg,        мотоцикл                    
"
        Patron Sport
              ","
$ 1 706
                                                             
                                                                                   150 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/0/2/f026345ac3b8072973f308f3ff49f2b3_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R3
              ","
$ 5 200
                                                             
                                                                                   457 184 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/8/6/786d548158b4f19f001c11531c7635b5_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja
              ","
$ 7 500
                                                             
                                                                                   659 400 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/5/2/d52deecdc4c94e9e753d4ccd9c27506e_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 3 700
                                                             
                                                                                   325 304 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/4/1/6416f488ded86a9e683fd9c5c70240e4_240x180.jpg,        мотоцикл                    
"
        Zongshen ZS125ST
              ","
$ 2 500
                                                             
                                                                                   219 800 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/b/8/eb8c81678a13a192dc9b404fee4626f5_240x180.jpg,        мотовездеход                    
"
        Kawasaki Ninja
              ","
$ 6 500
                                                             
                                                                                   571 480 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/8/6/e868606febe5d21ca31d3a1e71652128_240x180.jpg,        мотоцикл                    
"
        ABAT ZQTD-398
              ","
$ 682
                                                             
                                                                                   60 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/6/0/e60a7ab35b30ad2a397248990a5a31e3_240x180.jpg,        скутер                    
"
        CFMoto CFORCE 850 XC
              ","
$ 12 000
                                                             
                                                                                   1 055 040 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/1/f/e1f071582716ffec6a6fbc1ade218c15_240x180.jpg,        мотовездеход                    
"
        Урал 8103-1
              ","
$ 1 479
                                                             
                                                                                   130 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/2/c/92c8697bab0a9f6af4568f6c64b45e64_240x180.jpg,        мотоцикл                    
"
        KAYO T2
              ","
$ 1 649
                                                             
                                                                                   145 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/4/a/14a1dd60599647bf4987d0479467e855_240x180.jpg,        мотоцикл                    
"
        Kawasaki KX
              ","
$ 4 500
                                                             
                                                                                   395 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/8/0/3802738799945e628d5541d2224e8493_240x180.jpg,        мотоцикл                    
"
        Yamaha R
              ","
$ 2 843
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/b/2/0b27024142fd24593bda3c64c6afa4cf_240x180.jpg,        мотоцикл                    
"
        Honda CBF 600S
              ","
$ 4 700
                                                             
                                                                                   413 224 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/4/d/54d6777b4196f3756a9ea23fd79f4768_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) ZW125
              ","
$ 2 843
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/0/8/e081ce442ba1d1eb8bbff69c86c3e3cf_240x180.jpg,        мотоцикл                    
"
        Lifan LF400
              ","
$ 2 843
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/3/5/33519a82f2b14e24dc0d08ddc66ea2f0_240x180.jpg,        мотоцикл                    
"
        Yamaha YZ 450F
              ","
$ 3 500
                                                             
                                                                                   307 720 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/b/6/9b6d22d9e867ffaef56a08c995910433_240x180.jpg,        мотоцикл                    
"
        Yamaha XJ 600 S
              ","
$ 2 616
                                                             
                                                                                   230 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/1/0/f102d625c8e7ddfdf85432a605c62590_240x180.jpg,        мотоцикл                    
"
        Centurion Bitrix
              ","
$ 1 592
                                                             
                                                                                   140 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/a/c/5ac1c8fcb13ebd7f69bb38c76dec6a36_240x180.jpg,        мотоцикл                    
"
        Motowell Magnet RS
              ","
$ 739
                                                             
                                                                                   65 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/d/a/ada27c151f913649dfc2d85802f53b43_240x180.jpg,        скутер                    
"
        Minsk (Минск) D4 125
              ","
$ 739
                                                             
                                                                                   65 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/a/7/ba78448fb6169f6d32c5a67ef439e43b_240x180.jpg,        мотоцикл                    
"
        Suzuki Boulevard
              ","
$ 3 412
                                                             
                                                                                   300 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/4/d/34df611fa801599106659dcd550d6267_240x180.jpg,        мотоцикл                    
"
        Honda VT 750
              ","
$ 7 100
                                                             
                                                                                   624 232 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/1/7/c17f06edea30e427591e6927adb78fb7_240x180.jpg,        мотоцикл                    
"
        Daelim VL 125
              ","
$ 569
                                                             
                                                                                   50 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/b/c/2bc61de0b874036f83f5a5f9ee59ef02_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 6 500
                                                             
                                                                                   571 480 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/3/5/f35782956485632cd1018ceb5b202e29_240x180.jpg,        мотоцикл                    
"
        Honda CRF
              ","
$ 5 000
                                                             
                                                                                   439 600 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/f/9/6f9b704088a508f125fbe0f951499bea_240x180.jpg,        мотоцикл                    
"
        Yamaha FZ6
              ","
$ 4 200
                                                             
                                                                                   369 264 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/4/6/246b462887ad1da97ac230439bcd29bb_240x180.jpg,        мотоцикл                    
"
        Suzuki AP 50
              ","
$ 284
                                                             
                                                                                   25 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/2/5/425a8d0088df50f48299c5a860d9d9a5_240x180.jpg,        скутер                    
"
        Honda CBR 600
              ","
$ 3 185
                                                             
                                                                                   280 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/0/5/50548f2ea7194836331bda38e9b0a7f8_240x180.jpg,        мотоцикл                    
